#Simulate Step number,Current lidar reading,Estimated lead car speed from lidar reading,Acceleration command from MPC,Speed command from MPC,Distance command from MPC,Measure Speed,Update lidar reading,Time taken by task
301.0000,103.6063,28.3331,2.0000,28.4937,0.0025,28.4937,103.6063,9
302.0000,103.6711,29.7891,-0.0008,28.4937,-0.0000,28.4937,103.6711,15
303.0000,103.6743,28.5580,-0.0008,28.4936,-0.0000,28.4936,103.6743,71
304.0000,103.7564,30.1369,0.0378,28.4955,-0.0000,28.4955,103.7564,69
305.0000,103.7712,28.6919,-3.9939,9.4708,0.0002,28.2958,103.7712,9
306.0000,103.8032,28.9366,0.0378,28.2977,-0.0000,28.2977,103.8032,27
307.0000,103.8971,30.1769,-0.0008,28.2977,-0.0000,28.2977,103.8971,40
308.0000,103.9896,30.1966,2.0000,28.3977,0.0025,28.3977,103.9896,53
309.0000,103.9831,28.2956,1.1041,28.4529,0.0014,28.4529,103.9831,24
310.0000,103.9317,27.4254,-0.0008,28.4529,-0.0000,28.4529,103.9317,12
311.0000,104.0405,30.5292,-4.0000,21.5873,37.6646,28.2529,104.0405,12
312.0000,104.1069,29.6307,2.0000,28.3529,0.0025,28.3529,104.1069,46
313.0000,104.1759,29.7329,-0.0008,28.3528,-0.0000,28.3528,104.1759,71
314.0000,104.2292,29.4175,-0.0008,28.3528,-0.0000,28.3528,104.2292,80
