Simulate Step number ,Current lidar reading,Estimated lead car speed from lidar reading,Acceleration command from MPC,Speed command from MPC,Distance command from MPC,Measure Speed,Update lidar reading
332,473.645,14.7561,0.0130716,28.7577,3.73244,28.7577,473.645
333,472.945,14.7561,0.00995998,28.7582,3.73244,28.7582,472.945
334,472.245,14.7561,0.00974478,28.7587,3.73244,28.7587,472.245
335,471.545,14.7561,0.00973018,28.7592,3.73244,28.7592,471.545
336,470.845,14.7561,-7.97387e-06,28.7592,-9.96734e-09,28.7592,470.845
337,470.145,14.7561,-7.96584e-06,28.7592,-9.9573e-09,28.7592,470.145
338,469.444,14.7561,0.0278553,28.7606,3.73246,28.7606,469.444
339,468.744,14.7561,-7.97299e-06,28.7606,-9.96624e-09,28.7606,468.744
340,468.044,14.7561,0.0200497,28.7616,3.73245,28.7616,468.044
341,467.344,14.7561,-7.97338e-06,28.7616,-9.96672e-09,28.7616,467.344
342,466.643,14.7561,-7.96499e-06,28.7616,-9.95623e-09,28.7616,466.643
343,465.943,14.7561,-7.94887e-06,28.7616,-9.93608e-09,28.7616,465.943
344,465.243,14.7561,-7.90525e-06,28.7616,-9.88156e-09,28.7616,465.243
345,464.54,14.7561,2,28.8616,-9.999e-09,28.8616,464.54
346,463.835,14.7561,-7.99946e-06,28.8616,-9.99932e-09,28.8616,463.835
347,463.13,14.7561,-7.99945e-06,28.8616,-9.99932e-09,28.8616,463.13
348,462.424,14.7561,-7.99945e-06,28.8616,-9.99931e-09,28.8616,462.424
349,461.719,14.7561,-7.99945e-06,28.8616,-9.99931e-09,28.8616,461.719
350,461.014,14.7561,-7.99945e-06,28.8616,-9.99931e-09,28.8616,461.014
351,460.308,14.7561,-7.99944e-06,28.8616,-9.9993e-09,28.8616,460.308
352,459.603,14.7561,-7.99944e-06,28.8616,-9.9993e-09,28.8616,459.603
353,458.898,14.7561,-7.99944e-06,28.8616,-9.9993e-09,28.8616,458.898
354,458.193,14.7561,-7.99943e-06,28.8616,-9.99929e-09,28.8616,458.193
355,457.487,14.7561,-7.99943e-06,28.8616,-9.99929e-09,28.8616,457.487
356,456.782,14.7561,-7.99943e-06,28.8616,-9.99929e-09,28.8616,456.782
357,456.077,14.7561,-7.99943e-06,28.8616,-9.99928e-09,28.8616,456.077
358,455.372,14.7561,-7.99942e-06,28.8616,-9.99928e-09,28.8616,455.372
359,454.666,14.7561,-7.99942e-06,28.8616,-9.99927e-09,28.8616,454.666
360,453.961,14.7561,-7.99942e-06,28.8616,-9.99927e-09,28.8616,453.961
361,453.258,14.7561,-1.6687,28.7782,3.73034,28.7782,453.258
362,452.557,14.7561,-3.9266e-06,28.7782,-9.99187e-09,28.7782,452.557
363,451.856,14.7561,-7.99309e-06,28.7782,-9.99136e-09,28.7782,451.856
364,451.154,14.7561,-7.99263e-06,28.7782,-9.99079e-09,28.7782,451.154
365,450.453,14.7561,-7.99211e-06,28.7782,-9.99013e-09,28.7782,450.453
366,449.752,14.7561,-7.9915e-06,28.7782,-9.98938e-09,28.7782,449.752
367,449.051,14.7561,-0.0611457,28.7751,3.73235,28.7751,449.051
368,448.35,14.7561,-7.97682e-06,28.7751,-9.97102e-09,28.7751,448.35
369,447.649,14.7561,-7.9707e-06,28.7751,-9.96337e-09,28.7751,447.649
370,446.948,14.7561,-7.96019e-06,28.7751,-9.95023e-09,28.7751,446.948
371,446.247,14.7561,-7.93791e-06,28.7751,-9.92239e-09,28.7751,446.247
372,445.546,14.7561,-7.85903e-06,28.7751,-9.82379e-09,28.7751,445.546
373,444.846,14.7561,0.00192339,28.7752,2.40424e-06,28.7752,444.846
374,444.145,14.7561,0.00919866,28.7757,1.14983e-05,28.7757,444.145
375,443.444,14.7561,0.0097033,28.7761,1.21291e-05,28.7761,443.444
376,442.743,14.7561,0.00973857,28.7766,1.21732e-05,28.7766,442.743
377,442.041,14.7561,0.00974133,28.7771,1.21767e-05,28.7771,442.041
378,441.34,14.7561,0.00974184,28.7776,1.21773e-05,28.7776,441.34
379,440.639,14.7561,0.00974219,28.7781,1.21777e-05,28.7781,440.639
380,439.938,14.7561,0.0580159,28.781,3.7325,28.781,439.938
381,439.237,14.7561,0.0130882,28.7817,3.73244,28.7817,439.237
382,438.536,14.7561,-7.9737e-06,28.7817,-9.96713e-09,28.7817,438.536
383,437.834,14.7561,-0.0286079,28.7802,0.0472474,28.7802,437.834
384,437.133,14.7561,0.0251387,28.7815,1.443,28.7815,437.133
385,436.432,14.7561,-7.87164e-06,28.7815,-9.83954e-09,28.7815,436.432
386,435.731,14.7561,0.00122655,28.7815,1.53318e-06,28.7815,435.731
387,435.029,14.7561,0.0091542,28.782,1.14427e-05,28.782,435.029
388,434.328,14.7561,0.00970432,28.7825,1.21304e-05,28.7825,434.328
389,433.627,14.7561,0.00974274,28.783,1.21784e-05,28.783,433.627
390,432.925,14.7561,0.00974572,28.7835,1.21821e-05,28.7835,432.925
391,432.224,14.7561,0.00974624,28.7839,1.21828e-05,28.7839,432.224
392,431.523,14.7561,0.00974659,28.7844,1.21832e-05,28.7844,431.523
393,430.821,14.7561,0.00974693,28.7849,1.21837e-05,28.7849,430.821
394,430.12,14.7561,0.00974727,28.7854,1.21841e-05,28.7854,430.12
395,429.418,14.7561,0.00974761,28.7859,1.21845e-05,28.7859,429.418
396,428.717,14.7561,0.00974794,28.7864,1.2096e-05,28.7864,428.717
397,428.015,14.7561,0.012276,28.787,0.195461,28.787,428.015
398,427.311,14.7561,2,28.887,-9.999e-09,28.887,427.311
399,426.605,14.7561,-7.99945e-06,28.887,-9.99932e-09,28.887,426.605
400,425.898,14.7561,-7.99945e-06,28.887,-9.99931e-09,28.887,425.898
401,425.191,14.7561,-7.99945e-06,28.887,-9.99931e-09,28.887,425.191
402,424.485,14.7561,-7.99945e-06,28.887,-9.99931e-09,28.887,424.485
403,423.778,14.7561,-7.99944e-06,28.887,-9.9993e-09,28.887,423.778
404,423.072,14.7561,-7.99944e-06,28.887,-9.9993e-09,28.887,423.072
