Simulate Step number ,Current lidar reading,Estimated lead car speed from lidar reading,Acceleration command from MPC,Speed command from MPC,Distance command from MPC,Measure Speed,Update lidar reading
339,638.729,24.7561,-7.99013e-06,28.7594,-9.98766e-09,28.7594,638.729
340,638.529,24.7561,-7.98995e-06,28.7594,-9.98743e-09,28.7594,638.529
341,638.329,24.7561,-7.98976e-06,28.7594,-9.9872e-09,28.7594,638.329
342,638.129,24.7561,-7.98956e-06,28.7594,-9.98695e-09,28.7594,638.129
343,637.929,24.7561,-7.98936e-06,28.7594,-9.9867e-09,28.7594,637.929
344,637.729,24.7561,-0.0923825,28.7548,0.0408722,28.7548,637.729
345,637.529,24.7561,-0.00447667,28.7546,0.0499944,28.7546,637.529
346,637.329,24.7561,0.00107073,28.7546,1.33841e-06,28.7546,637.329
347,637.129,24.7561,0.0019139,28.7547,2.39237e-06,28.7547,637.129
348,636.929,24.7561,0.00197275,28.7548,2.46594e-06,28.7548,636.929
349,636.729,24.7561,0.00197689,28.7549,2.47111e-06,28.7549,636.729
350,636.529,24.7561,0.120775,0.00999999,0.00999999,28.761,636.529
351,636.329,24.7561,-7.99073e-06,28.761,-9.98841e-09,28.761,636.329
352,636.128,24.7561,-7.99057e-06,28.761,-9.98821e-09,28.761,636.128
353,635.928,24.7561,-7.9904e-06,28.761,-9.988e-09,28.761,635.928
354,635.728,24.7561,-7.99023e-06,28.761,-9.98778e-09,28.761,635.728
355,635.528,24.7561,-7.99005e-06,28.761,-9.98756e-09,28.761,635.528
356,635.327,24.7561,-7.98986e-06,28.761,-9.98733e-09,28.761,635.327
357,635.127,24.7561,-7.98967e-06,28.761,-9.98709e-09,28.761,635.127
358,634.927,24.7561,-7.98947e-06,28.761,-9.98684e-09,28.761,634.927
359,634.727,24.7561,-7.98926e-06,28.761,-9.98658e-09,28.761,634.727
360,634.526,24.7561,-7.98905e-06,28.761,-9.98631e-09,28.761,634.526
361,634.326,24.7561,-7.98882e-06,28.761,-9.98603e-09,28.761,634.326
362,634.126,24.7561,-7.98859e-06,28.761,-9.98573e-09,28.761,634.126
